t,i_sn,x_sn,U_sn,P_0,P_sn
0.0000035554,172,0.0860008519,0.4671985009,40000000.0000000000,39939001.9783386216
0.0000036054,172,0.0860008756,0.4737622589,40000000.0000000000,39937598.5645797476
0.0000036554,172,0.0860008996,0.4803257863,40000000.0000000000,39936187.7038060725
0.0000037054,172,0.0860009239,0.4868890818,40000000.0000000000,39934769.6581389904
0.0000037554,172,0.0860009486,0.4934521443,40000000.0000000000,39933344.6864443347
0.0000038054,172,0.0860009736,0.5000149726,40000000.0000000000,39931913.0443124622
0.0000038554,172,0.0860009989,0.5065775656,40000000.0000000000,39930474.9840430170
0.0000039054,172,0.0860010246,0.5131399222,40000000.0000000000,39929030.7546250746
0.0000039554,172,0.0860010506,0.5197020416,40000000.0000000000,39927580.6017236561
0.0000040054,172,0.0860010769,0.5262639225,40000000.0000000000,39926124.7676652223
0.0000040554,172,0.0860011035,0.5328255643,40000000.0000000000,39924663.4914223477
0.0000041054,172,0.0860011305,0.5393869659,40000000.0000000000,39923197.0086029097
0.0000041554,172,0.0860011578,0.5459481264,40000000.0000000000,39921725.5514364839
0.0000042054,172,0.0860011854,0.5525090452,40000000.0000000000,39920249.3487670273
0.0000042554,172,0.0860012134,0.5590697213,40000000.0000000000,39918768.6260359138
0.0000043054,172,0.0860012417,0.5656301541,40000000.0000000000,39917283.6052779928
0.0000043554,172,0.0860012703,0.5721903428,40000000.0000000000,39915794.5051118433
0.0000044054,172,0.0860012992,0.5787502868,40000000.0000000000,39914301.5407323241
0.0000044554,172,0.0860013285,0.5853099855,40000000.0000000000,39912804.9239025339
0.0000045054,172,0.0860013581,0.5918694382,40000000.0000000000,39911304.8629517630
0.0000045554,172,0.0860013880,0.5984286443,40000000.0000000000,39909801.5627674237
0.0000046054,172,0.0860014182,0.6049876035,40000000.0000000000,39908295.2247912362
0.0000046554,172,0.0860014488,0.6115463150,40000000.0000000000,39906786.0470182300
0.0000047054,172,0.0860014797,0.6181047785,40000000.0000000000,39905274.2239930034
0.0000047554,172,0.0860015109,0.6246629936,40000000.0000000000,39903759.9468086213
0.0000048054,172,0.0860015425,0.6312209598,40000000.0000000000,39902243.4031082019
0.0000048554,172,0.0860015744,0.6377786767,40000000.0000000000,39900724.7770820707
0.0000049054,172,0.0860016066,0.6443361441,40000000.0000000000,39899204.2494727820
0.0000049554,172,0.0860016392,0.6508933616,40000000.0000000000,39897681.9975758418
0.0000050054,172,0.0860016720,0.6574503289,40000000.0000000000,39896158.1952393278
0.0000050554,172,0.0860017052,0.6640070458,40000000.0000000000,39894633.0128751472
0.0000051054,172,0.0860017388,0.6705635120,40000000.0000000000,39893106.6174569055
