t,i_sn,x_sn,U_sn,P_0,P_sn
0.5777668845,240,12.0012413201,0.0008176548,30.3388547546,30.1404911114
0.5936619946,240,12.0012546757,0.0008402305,30.3482321354,30.1438106790
0.6095571047,240,12.0012683901,0.0008628088,30.3576124865,30.1472226006
0.6254522147,240,12.0012824635,0.0008853895,30.3669958087,30.1507240640
0.6413473248,240,12.0012968958,0.0009079730,30.3763821032,30.1543114100
0.6572424349,240,12.0013116872,0.0009305591,30.3857713709,30.1579802200
0.6731375450,240,12.0013268375,0.0009531479,30.3951636128,30.1617254056
0.6890326550,240,12.0013423470,0.0009757396,30.4045588299,30.1655412988
0.7049277651,240,12.0013582157,0.0009983341,30.4139570231,30.1694217424
0.7208228752,240,12.0013744435,0.0010209315,30.4233581935,30.1733601801
0.7367179852,240,12.0013910305,0.0010435319,30.4327623420,30.1773497446
0.7526130953,240,12.0014079769,0.0010661352,30.4421694697,30.1813833453
0.7685082054,240,12.0014252825,0.0010887416,30.4515795775,30.1854537515
0.7844033155,240,12.0014429476,0.0011113510,30.4609926663,30.1895536744
0.8002984255,240,12.0014609721,0.0011339635,30.4704087373,30.1936758447
0.8161935356,240,12.0014793560,0.0011565791,30.4798277914,30.1978130856
0.8320886457,240,12.0014980995,0.0011791978,30.4892498295,30.2019583825
0.8479837557,240,12.0015172025,0.0012018196,30.4986748527,30.2061049470
0.8638788658,240,12.0015366652,0.0012244445,30.5081028620,30.2102462756
0.8797739759,240,12.0015564876,0.0012470725,30.5175338583,30.2143762038
0.8956690860,240,12.0015766697,0.0012697036,30.5269678426,30.2184889530
0.9115641960,240,12.0015972115,0.0012923377,30.5364048160,30.2225791733
0.9274593061,240,12.0016181132,0.0013149750,30.5458447794,30.2266419788
0.9433544162,240,12.0016393747,0.0013376153,30.5552877338,30.2306729774
0.9592495262,240,12.0016609962,0.0013602586,30.5647336802,30.2346682949
0.9751446363,240,12.0016829776,0.0013829048,30.5741826196,30.2386245924
0.9910397464,240,12.0017053190,0.0014055541,30.5836345531,30.2425390782
1.0069348565,240,12.0017280205,0.0014282063,30.5930894815,30.2464095136
1.0228299665,240,12.0017510821,0.0014508614,30.6025474059,30.2502342134
1.0387250766,240,12.0017745039,0.0014735193,30.6120083273,30.2540120406
1.0546201867,240,12.0017982858,0.0014961801,30.6214722466,30.2577423965
1.0705152967,240,12.0018224280,0.0015188437,30.6309391649,30.2614252053
1.0864104068,240,12.0018469305,0.0015415100,30.6404090832,30.2650608945
1.1023055169,240,12.0018717933,0.0015641791,30.6498820025,30.2686503714
1.1182006270,240,12.0018970165,0.0015868508,30.6593579237,30.2721949956
1.1340957370,240,12.0019226000,0.0016095252,30.6688368478,30.2756965477
1.1499908471,240,12.0019485441,0.0016322022,30.6783187760,30.2791571959
1.1658859572,240,12.0019748486,0.0016548818,30.6878037090,30.2825794590
1.1817810672,240,12.0020015137,0.0016775640,30.6972916481,30.2859661686
1.1976761773,240,12.0020285393,0.0017002487,30.7067825940,30.2893204285
1.2135712874,240,12.0020559256,0.0017229360,30.7162765479,30.2926455732
1.2294663974,240,12.0020836725,0.0017456257,30.7257735108,30.2959451260
1.2453615075,240,12.0021117801,0.0017683179,30.7352734836,30.2992227564
1.2612566176,240,12.0021402484,0.0017910125,30.7447764673,30.3024822376
1.2771517277,240,12.0021690775,0.0018137096,30.7542824630,30.3057274044
